ICAO_Code...1,Location_Name,Latitude,Longitude,Terr_code,ICAO Member State,ICAO_Code...7,...8,ICAO_Code...9,...10,...11,...12,...13,...14
KATL,HARTSFIELD - JACKSON  ATLANTA INTL,33.6366972222222,-84.4278638888889,KA,United States,KATL,NA,AGAF,NA,NA,NA,NA,A CORUNA
KORD,CHICAGO-O'HARE INTL,41.9745194444444,-87.9065972222222,KO,United States,KORD,NA,AGAR,NA,NA,NA,NA,A L MANGHAM JR. RGNL
KDFW,DALLAS/FORT WORTH INTL,32.8972305555556,-97.0376944444444,KD,United States,KDFW,NA,AGAT,NA,NA,NA,NA,A P HILL AAF (FORT A P HILL)
KLAX,LOS ANGELES INTL,33.9424944444444,-118.408047222222,KL,United States,KLAX,NA,AGBA,NA,NA,NA,NA,"A.N.R. ROBINSON,TOBAGO"
ZBAA,BEIJING/CAPITAL,40.0733333333333,116.598333333333,ZB,China,ZBAA,NA,AGBT,NA,NA,NA,NA,AACHEN-MERZBRUECK
KDEN,DENVER INTL,39.8616666666667,-104.673166666667,KD,United States,KDEN,NA,AGEV,NA,NA,NA,NA,AALBORG (CIV/MIL)
KCLT,CHARLOTTE/DOUGLAS INTL,35.21375,-80.9490555555556,KC,United States,KCLT,NA,AGGA,NA,NA,NA,NA,AALEN-HEIDENHEIM/ELCHINGEN
KIAH,GEORGE BUSH INTERCONTINENTAL/HOUSTON,29.9844333333333,-95.3414416666667,KI,United States,KIAH,NA,AGGB,NA,NA,NA,NA,AALST/ONZE-LIEVE-VROUWZIEKENHUIS
LFPG,PARIS-CHARLES DE GAULLE,49.0097222222222,2.54777777777778,LF,France,LFPG,NA,AGGC,NA,NA,NA,NA,AAPPILATTOQ/NANORTALIK
EGLL,LONDON HEATHROW,51.4775,-0.461388888888889,EG,United Kingdom,EGLL,NA,AGGE,NA,NA,NA,NA,AARHUS
EDDF,FRANKFURT MAIN,50.0333055555556,8.57045555555556,ED,Germany,EDDF,NA,AGGF,NA,NA,NA,NA,AARHUS VANDFLYVEPLADS (WATER AD)
LTBA,ISTANBUL/ATATURK,40.9761111111111,28.8141666666667,LT,Türkiye,LTBA,NA,AGGH,NA,NA,NA,NA,AASIAAT
ZSPD,SHANGHAI/PUDONG,31.145,121.793333333333,ZS,China,ZSPD,NA,AGGI,NA,NA,NA,NA,AASTA HANSTEEN (OFFSHORE HELIDECK)
EHAM,AMSTERDAM/SCHIPHOL,52.3080555555556,4.76416666666667,EH,Netherlands,EHAM,NA,AGGJ,NA,NA,NA,NA,AAVAHELUKKA
CYYZ,"TORONTO/LESTER B. PEARSON INTL, ON",43.6767166666667,-79.6306555555555,CY,Canada,CYYZ,NA,AGGK,NA,NA,NA,NA,ABA
KJFK,JOHN F KENNEDY INTL,40.6399277777778,-73.7786916666667,KJ,United States,KJFK,NA,AGGL,NA,NA,NA,NA,ABADAN
RJTT,TOKYO INTL,35.5533333333333,139.781111111111,RJ,Japan,RJTT,NA,AGGM,NA,NA,NA,NA,ABAIANG
KSFO,SAN FRANCISCO INTL,37.6188055555556,-122.375416666667,KS,United States,KSFO,NA,AGGN,NA,NA,NA,NA,ABAKAN
WIII,JAKARTA/SOEKARNO HATTA INTL,-6.12361111111111,106.661111111111,WI,Indonesia,WIII,NA,AGGO,NA,NA,NA,NA,ABBEVILLE
KPHX,PHOENIX SKY HARBOR INTL,33.4342777777778,-112.011583333333,KP,United States,KPHX,NA,AGGP,NA,NA,NA,NA,ABBEYSHRULE
KEWR,NEWARK LIBERTY INTL,40.6924777777778,-74.1686861111111,KE,United States,KEWR,NA,AGGQ,NA,NA,NA,NA,ABBIEGLASSIE
