Date,Flight No.,"Type of
Flight","EU ETS
Annex I
exceptions",Aircraft Type,Reg No.,"Country of
dep.",Departure,"Airport of
dep.
(ICAO code)","Airport of
dep.
(IATA code)","Airport of dep
geog. boundaries","Country of
arrival",Arrival,"Airport of
arrival
(ICAO code)","Airport of
arrival
(IATA code)","Airport of arrival
geog. boundaries","Great circle
distance [km]","Payload
distance [km]",Block,"Remaining fuel
from previous
block on  [kg]","Fuel
uplift [kg]",Block Fuel [kg],Density [kg/L],"Fuel at
block-on [kg]",Fuel consumption [kg],PAX,"PAX
infant","PAX
child","PAX
male","PAX
female","Gross weight
of baggage [kg]","Gross weight
of freight [kg]",Payload [kg],kmT,emission CO2 [t CO2],emission ETS [t C02],emission Corsia [t C02]
01-04-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,2:53,2100,1000,3100,No,1370,1730,0,0,0,0,,0,0,0,0,5.4668,5.4668,5.4668
01-04-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:40,1370,1730,3100,No,1440,1660,0,0,0,0,,0,0,0,0,5.2456,5.2456,5.2456
01-07-2026,HFA701,SCD,Both airfields outside EU,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,0,0,1:12,1440,1760,3200,No,2580,620,0,0,0,0,,0,0,0,0,1.9592,1.9592,1.9592
01-07-2026,HFA701A,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,1158,3:13,2580,620,3200,No,1090,2110,0,0,0,0,,0,0,0,0,6.6676,6.6676,6.6676
01-07-2026,HFA702,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:31,1090,2110,3200,No,1810,1390,0,0,0,0,,0,0,0,0,4.3924,4.3924,4.3924
01-08-2026,HFA601,SCD,Both airfields outside EU,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,ISR,Eilat/Ilan and Assaf Ramon Intl (Timna),LLER,ETM,NEU,342,0,1:10,1810,0,1810,No,1040,770,0,0,0,0,,0,0,0,0,2.4332,2.4332,2.4332
01-08-2026,HFA602,SCD,Both airfields outside EU,AT76,4X-IHA,ISR,Eilat/Ilan and Assaf Ramon Intl (Timna),LLER,ETM,NEU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,342,0,1:00,1040,1560,2600,No,2000,600,0,0,0,0,,0,0,0,0,1.896,1.896,1.896
01-08-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,3:05,2000,1100,3100,No,1050,2050,0,0,0,0,,0,0,0,0,6.478,6.478,6.478
01-08-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:35,1050,2250,3300,No,1770,1530,0,0,0,0,,0,0,0,0,4.8348,4.8348,4.8348
01-09-2026,HFA701,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,3:21,1770,1630,3400,No,1290,2110,0,0,0,0,,0,0,0,0,6.6676,6.6676,6.6676
01-09-2026,HFA702,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:21,1290,2210,3500,No,2240,1260,0,0,0,0,,0,0,0,0,3.9816,3.9816,3.9816
01-10-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,2:56,2240,960,3200,No,1180,2020,0,0,0,0,,0,0,0,0,6.3832,6.3832,6.3832
01-10-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:24,1180,1720,2900,No,1360,1540,0,0,0,0,,0,0,0,0,4.8664,4.8664,4.8664
01-11-2026,HFA701,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,3:01,1360,1740,3100,No,1270,1830,0,0,0,0,,0,0,0,0,5.7828,5.7828,5.7828
01-11-2026,HFA702,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:28,1270,1630,2900,No,1330,1570,0,0,0,0,,0,0,0,0,4.9612,4.9612,4.9612
01-11-2026,HFA605,SCD,Both airfields outside EU,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,ISR,Eilat/Ilan and Assaf Ramon Intl (Timna),LLER,ETM,NEU,342,0,1:02,1330,380,1710,No,950,760,0,0,0,0,,0,0,0,0,2.4016,2.4016,2.4016
