"flightid","releasestatus","filing_status","departure","destination","scheduled_time_of_departure","aircraft_registration","callsign","alternate","flight_rule","atc_type_of_flight","dispatcher_notes","item18_remarks","route_to_destination","route_altitude_fl","load_people","load_cargo_kg","log_time_off","log_time_on","log_flight_duration","log_block_duration","perf_flight_fuel","perf_taxi_fuel","perf_fuel_to_destination","perf_landing_fuel","perf_alternate_fuel","perf_reserve_fuel","perf_extra_fuel","perf_contingency_fuel","perf_total_fuel","perf_max_total_fuel","perf_co2_emission","perf_taxi_time_min","perf_time_to_dest_min","perf_total_time_min","perf_departure_time_utc","perf_estimated_arrival_utc","dist_destination_nm","dist_gcd_destination_nm","dist_alternate_nm","weight_ramp","weight_takeoff","weight_max_takeoff","weight_zero_fuel","weight_landing","weather_avg_wind_comp","weather_avg_wind_dir","weather_avg_wind_vel","weather_avg_isa_dev","is_etops_enabled"
"ef69624e9f9a4cb39bc1765294068808","Success","Filed","LCLK","LLHA","2026-02-08T17:55:00Z","4XIHE","HFA808","LLBG","YFR","S","FUEL   :   EXTRA FUEL TO COVER NEXT LEG-ETM.
DISP    :   UDI A,TRAINEE,SUPERVISED BY EREZ Y.",,"EMEDA2B EMEDA B17 MERVA P68 GALIM","130","2","5000.0","2026-02-08T18:15:11Z","2026-02-08T18:55:53Z","0.6783333333333333","0.9175","564.0","80.0","484.0","1936.0","262.0","275.0","1352.0","46.0","2500.0","5000.0","1783.0","0.0","39.0","205.0","2026-02-08T17:55:00Z","2026-02-08T18:33:40.2922949Z","162.11","142.64","54.99","20825.0","20745.0","23000.0","18325.0","20261.0","17.0","271.29","47.7","7.32","false"
"0d0505d5e1be4fc4bf3d4f13590ec8c5","Success","Filed","LLHA","LCLK","2026-02-08T16:30:00Z","4XIHE","HFA807","LCPH","ZFR","S","FUEL     :   EXTRA FUEL AS PER COMPANY POLICY.
RTOW   :   22223kg.  SPS DATA  -  RWY15 DRY,NO WIND,22C,Q1009,PACKS OFF.
DISP     :   UDI A,TRAINEE,SUPERVISED BY EREZ Y.",,"GALIM P68 MERVA N131 EMEDA EMEDA1A","140","2","4200.0","2026-02-08T16:35:43Z","2026-02-08T17:22:19Z","0.7766666666666666","0.9522222222222222","648.0","50.0","598.0","756.0","355.0","258.0","100.0","43.0","1404.0","5000.0","2047.0","0.0","50.0","116.0","2026-02-08T16:30:00Z","2026-02-08T17:19:29.7000661Z","179.36","142.64","73.5","18929.0","18879.0","23000.0","17525.0","18281.0","-22.0","277.78","49.25","7.04","false"
"c35cca904afa49bdbef9069035d1f591","Success","Filed","LGAV","LLHA","2026-02-08T15:25:00Z","4XIHD","HFA704","LLBG","YFR","S","1.F/L 150 BETWEEN NILAS-ALKIS DUE EUROCONTROL LIMITATION,MIGHT BE APPROVED BY ATC UPON REQ.
2.EXTRA FUEL IS FOR THE NEXT FLT.
DISP-EREZ Y.","DISPATCH +972502126365","KEA1N KEA L995 RDS L609 NILAS/F150 L609 ALKIS/F190 L609 APLON P68 GALIM/F050 VFR","190","2","6050.0","2026-02-08T16:34:35Z","2026-02-08T18:47:54Z","2.2219444444444445","2.395","1519.0","80.0","1439.0","1581.0","260.0","281.0","968.0","72.0","3100.0","5000.0","4800.0","0.0","130.0","281.0","2026-02-08T15:25:00Z","2026-02-08T17:34:31.3740119Z","645.69","624.6","54.99","22375.0","22295.0","23000.0","19275.0","20856.0","47.0","276.85","57.18","4.65","false"
"d79c6c45cf7e40b0a22548e791c0a2e7","Success","Filed","LCLK","LLHA","2026-02-08T14:40:00Z","4XIHE","HFA806","LLBG","YFR","S","FUEL   :   EXTRA FUEL TO COVER NEXT LEG-LCA.
DISP    :   UDI A,TRAINEE.SUPERVISED BY EREZ Y.
",,"EMEDA2B EMEDA B17 MERVA P68 GALIM","130","2","4800.0","2026-02-08T14:36:20Z","2026-02-08T15:15:21Z","0.6502777777777777","0.9191666666666667","561.0","80.0","481.0","1539.0","261.0","270.0","963.0","45.0","2100.0","5000.0","1774.0","0.0","38.0","172.0","2026-02-08T14:40:00Z","2026-02-08T15:18:11.4223444Z","162.11","142.64","54.99","20225.0","20145.0","23000.0","18125.0","19664.0","18.0","274.45","50.5","6.76","false"
"10b52b8850344734aee357967382e54e","Success","Filed","LLER","LLHA","2026-02-08T14:40:00Z","4XIHC","HFA606","LLBG","YFR","S","FUEL   :   EXTRA FUEL TO COVER NEXT LEG-LCA.
DISP    :   UDI A,TRAINEE,SUPERVISED BY EREZ Y.",,"N0273F120 NURIT2J NURIT J10 TOMAL/N0272F080 J10 NAT/N0224F040 J15 ATLIT/N0225F040 VFR 3245N03456E DCT 3248N03457E DCT GALIM","120","2","4400.0","2026-02-08T14:54:25Z","2026-02-08T15:50:47Z","0.9394444444444444","1.2125","765.0","80.0","685.0","1535.0","264.0","268.0","959.0","45.0","2300.0","5000.0","2416.0","0.0","54.0","192.0","2026-02-08T14:40:00Z","2026-02-08T15:34:16.9824024Z","216.76","184.55","54.99","20200.0","20120.0","23000.0","17900.0","19435.0","-5.0","276.27","37.59","7.97","false"
"5a8ee2741a2e41e08027375b19101a4a","Success","Filed","LLHA","LCLK","2026-02-08T13:00:00Z","4XIHE","HFA805","LCPH","ZFR","S","AC IS FUELED  WITH 1570KG FROM PREV. LEG
T/O DATA: RWY 15. 0K  DRY. 25C 1010Q   AC-OFF.     RTOW-22091KG
DIS. BY AYELET W.",,"N0229A050 GALIM/N0229A050 IFR P68 MERVA/N0259A140 N131 EMEDA EMEDA1A","50","2","1800.0","2026-02-08T12:56:54Z","2026-02-08T13:45:20Z","0.8072222222222222","0.9447222222222222","638.0","50.0","588.0","932.0","339.0","241.0","312.0","40.0","1570.0","5000.0","2015.0","0.0","48.0","132.0","2026-02-08T13:00:00Z","2026-02-08T13:48:11.1050274Z","179.36","142.64","73.5","16695.0","16645.0","23000.0","15125.0","16057.0","-19.0","268.62","46.6","6.79","false"
"f0f917dd3dde469c82c25aac499071c6","Success","Filed","LLHA","LLER","2026-02-08T12:50:00Z","4XIHC","HFA605","LLBG","ZFR","S","EXTRA FUEL IS PER COMPANY POLICY
T/O DATA: RWY 15. 0K DRY. 25C. AC- OFF. 1010Q    RTOW-22091KG
DIS. BY AYELET W.
",,"N0236A050 GALIM/N0235A050 IFR Q28 ATLIT J15 NAT/N0274A090 J10 SIVAK/N0276A130 J10 NURIT NURIT1D","50","2","4300.0","2026-02-08T13:05:20Z","2026-02-08T13:59:42Z","0.9061111111111111","1.053611111111111","768.0","50.0","718.0","979.0","574.0","262.0","100.0","44.0","1747.0","5000.0","2428.0","0.0","57.0","142.0","2026-02-08T12:50:00Z","2026-02-08T13:47:02.3241824Z","230.38","184.55","155.72","19547.0","19497.0","23000.0","17800.0","18779.0","0.0","274.32","38.01","8.48","false"
"a58b1588beb14d868b81c6b5fb49648b","Success","Filed","LLER","LLHA","2026-02-08T12:35:00Z","4XIHB","HFA604","LLBG","YFR","S","EXTRA IS FOR THE NEXT LEG
DIS. BY AYELET W.",,"NURIT2H NURIT J10 TOMAL/N0276F080 J10 NAT/N0277F040 J15 ATLIT VFR HOTRM DAROM GALIM","120","2","2300.0","2026-02-08T12:38:59Z","2026-02-08T13:34:12Z","0.9202777777777778","1.1755555555555555","774.0","80.0","694.0","1526.0","266.0","249.0","970.0","42.0","2300.0","5000.0","2444.0","0.0","50.0","184.0","2026-02-08T12:35:00Z","2026-02-08T13:25:27.5698746Z","202.63","184.55","54.99","17911.0","17831.0","23000.0","15611.0","17137.0","-3.0","272.31","35.11","7.95","false"
"eee21a4562114262a9bfbd6f1bada5cc","Success","Filed","LLHA","LGAV","2026-02-08T11:45:00Z","4XIHD","HFA703","LGIR","ZFR","S","EXTRA FUEL IS PER COMPANY POLICY
FLIGHT DIS AT FL120 DUE TO SHORT FLIGHT TIME.
T/O DATA: RWY 15. DRY. 25C  AC-OFF  1011Q     RTOW- 22105KG.
DIS. BY AYELET W.","DISPATCH +972502126365","GALIM/F050 IFR P68 MERVA/F120 P68 APLON L609 RDS L995 VARIX VARIX1W","50","2","3200.0","2026-02-08T12:14:25Z","2026-02-08T15:10:05Z","2.9277777777777776","3.348333333333333","2168.0","50.0","2118.0","998.0","542.0","250.0","100.0","106.0","3165.0","5000.0","6849.0","0.0","173.0","265.0","2026-02-08T11:45:00Z","2026-02-08T14:38:03.782825Z","651.22","624.6","176.85","19590.0","19540.0","23000.0","16425.0","17423.0","-39.0","273.67","44.42","5.65","false"
"220d5574ea63489b98d3322ef8bfd46b","Success","Filed","LCLK","LLHA","2026-02-08T11:10:00Z","4XIHC","HFA804","LLBG","YFR","S","EXTRA FUEL TO COVER THE NEXT LEG. (LLER)
DIS. BY AYELET W.",,"EMEDA2B EMEDA B17 MERVA P68 GALIM VFR","130","2","6100.0","2026-02-08T11:30:00Z","2026-02-08T12:11:19Z","0.6886111111111111","1.0141666666666667","587.0","80.0","507.0","1713.0","269.0","285.0","1111.0","48.0","2300.0","5000.0","1855.0","0.0","40.0","182.0","2026-02-08T11:10:00Z","2026-02-08T11:49:33.8383967Z","162.11","142.64","54.99","21900.0","21820.0","23000.0","19600.0","21313.0","14.0","268.4","50.93","5.56","false"
