ICAO,Name
EGJA,Alderney,Channel Is.
EGJB,Guernsey, Channel Is.
EGJJ,Jersey, Channel Is.
EGNS,Isle Of Man/Ronaldsway
FATC,Tristan de cunha
FHAW,Wideawake
FJDG,Diego Garcia (See/Voir/Ves "kjdg")
MBGT,Grand turk
MBJT,Grand Turk (Ad)
MBMC,Middle caicos
MBNC,North caicos
MBOV,
MBPI,Pine cay
MBPV,Providenciales
MBSC,South caicos
MBSY,Salt cay
MWCB,Cayman Brac/Gerrard Smith
MWCG,Grand Cayman (City)
MWCL,Little Cayman/Boddenfield
MWCR,Georgetown/Owen Roberts Intl
SFAL,Stanley airport
TQPF,The Valley/Wall Blake
TRPM,Plymouth/Blackburne
TUPA,Auguste George Airport (British Virgin Islands)
TUPJ,Roadtown/Beef Island (Tortola I.)
TUPW,Virgin gorda
TXKF,Bermuda
MBAC,turks
LCRA,SBA Cysprus
