date,flight_iata,dep_iata,arr_iata,status
2026-04-22,E2107,TLV,LCA,scheduled
2026-04-22,E2214,ATH,TLV,scheduled
2026-04-22,E2106,LCA,TLV,scheduled
2026-04-22,E2105,TLV,LCA,scheduled
2026-04-22,E2213,TLV,ATH,scheduled
2026-04-22,E2104,LCA,TLV,active
2026-04-22,E2103,TLV,LCA,
2026-04-22,E2,LCA,TLV,landed
2026-04-22,E2108,LCA,TLV,landed
2026-04-22,E2107,TLV,LCA,landed
2026-04-22,E2214,ATH,TLV,landed
2026-04-22,E2106,LCA,TLV,
2026-04-22,E2213,TLV,ATH,
2026-04-22,E2105,TLV,LCA,scheduled
2026-04-22,E2104,LCA,TLV,diverted
2026-04-22,E2103,TLV,LCA,landed
