Type Designator,Intercept_1,Slope_1,Distance at First Breakpoint,Intercept_2,Slope_2,Distance at Second Breakpoint,Intercept_3,Slope_3,Nb_Segments
A124,6633,16.56,3042,14126,14.09,,,,2
A140,314,1.30,,,,,,,1
A148,783,1.90,,,,,,,1
A19N,822,2.72,545,935,2.52,1587,697,2.67,3
A20N,825,2.73,545,939,2.53,1587,699,2.68,3
A21N,908,2.93,2010,298,3.23,,,,2
A225,1381,28.70,4401,54365,16.66,,,,2
A306,2718,5.74,,,,,,,1
A30B,2634,5.56,,,,,,,1
A310,1527,5.74,,,,,,,1
A318,1244,1.99,226,1060,2.80,,,,2
A319,785,3.73,340,1101,2.80,1656,426,3.21,3
A320,1088,3.08,2100,469,3.38,,,,2
A321,755,5.05,337,1243,3.60,,,,2
A332,2350,6.08,3664,-1297,7.07,,,,2
A333,2114,7.84,1041,3392,6.61,5138,2481,6.79,3
A338,1674,5.92,4993,-1834,6.62,,,,2
A339,1691,5.97,4993,-1852,6.68,,,,2
A342,2544,7.21,6862,-9194,8.92,9051,12194,6.56,3
A343,2684,7.61,6862,-9699,9.41,9051,12864,6.92,3
A345,3580,9.43,6198,-5760,10.93,,,,2
A346,3558,9.37,6198,-5724,10.87,,,,2
A359,3007,6.59,6198,-2747,7.52,,,,2
A35K,3470,7.60,6198,-3169,8.67,,,,2
A388,8887,13.85,8244,-28570,18.39,,,,2
A748,321,1.32,,,,,,,1
AN12,1262,4.15,,,,,,,1
AN22,4238,12.23,,,,,,,1
AN24,433,1.40,,,,,,,1
AN26,261,2.79,980,1638,1.38,,,,2
AN28,157,0.65,,,,,,,1
AN30,250,2.67,980,1570,1.33,,,,2
AN32,293,3.14,980,1843,1.56,,,,2
AN72,1122,3.03,,,,,,,1
AT43,118,1.28,270,165,1.11,,,,2
AT45,100,1.57,345,235,1.18,,,,2
AT46,138,1.53,339,220,1.29,,,,2
AT72,54,1.81,334,243,1.25,,,,2
AT73,54,1.81,334,243,1.25,,,,2
AT75,134,1.60,300,198,1.38,,,,2
AT76,175,1.51,440,223,1.40,,,,2
ATP,282,1.16,,,,,,,1
B190,96,0.70,,,,,,,1
B350,161,0.54,,,,,,,1
B37M,629,2.51,1493,435,2.64,,,,2
B38M,665,2.65,1493,460,2.79,,,,2
B39M,721,2.88,1493,499,3.03,,,,2
B3XM,703,2.81,1493,487,2.95,,,,2
B461,676,2.97,,,,,,,1
B462,750,3.29,,,,,,,1
B463,667,3.75,,,,,,,1
B701,2632,6.79,3684,4906,6.17,,,,2
B712,705,3.33,,,,,,,1
B721,1520,4.13,2540,2220,3.86,,,,2
B722,1227,6.54,597,2229,4.86,,,,2
B732,623,3.21,458,871,2.68,,,,2
B733,705,3.63,458,984,3.02,,,,2
B734,1082,3.05,1016,991,3.14,,,,2
B735,785,3.75,292,981,3.07,,,,2
B736,1029,2.49,1402,740,2.70,,,,2
B737,645,3.14,385,787,2.77,1492,571,2.91,3
B738,645,3.49,399,784,3.15,2935,1533,2.89,3
B739,1052,3.31,,,,,,,1
B741,4426,9.88,7387,-11091,11.98,,,,2
B742,4894,10.93,7387,-12264,13.25,,,,2
B743,4916,10.98,7387,-12318,13.31,,,,2
B744,5174,11.55,7387,-12965,14.01,,,,2
B748,6000,10.60,5901,-7226,12.85,,,,2
B74R,4235,9.46,7387,-10614,11.47,,,,2
B74S,4108,9.17,7387,-10295,11.12,,,,2
B752,1593,4.15,1753,2072,3.88,,,,2
B753,1379,4.89,,,,,,,1
B762,1279,5.73,,,,,,,1
B763,1573,5.72,4336,-240,6.14,,,,2
B764,1764,6.10,,,,,,,1
B772,3253,7.54,6124,-1736,8.36,,,,2
B773,3766,8.60,2555,2124,9.24,,,,2
B77L,3245,7.82,3672,-5795,10.28,8869,13753,8.08,3
B77W,3782,8.55,3901,-603,9.67,,,,2
B788,2035,5.11,3623,-1166,6.00,,,,2
B789,1825,5.78,5318,-2749,6.64,,,,2
B78X,1785,6.14,3494,549,6.49,,,,2
BA11,558,3.30,7194,-7335,4.40,,,,2
BCS1,498,3.34,364,906,2.22,,,,2
BCS3,576,3.18,406,890,2.41,,,,2
BE20,162,0.49,,,,,,,1
BE30,78,0.66,1470,546,0.34,,,,2
BE40,172.0661445,1.448324848,350,307.7862498,1.060553119,,,,2
BE4W,159,0.77,369,244,0.54,,,,2
BELF,397,9.16,232,1318,5.18,,,,2
C130,869,3.59,,,,,,,1
C212,138,0.57,,,,,,,1
C25A,90,1.06,349,294,0.48,,,,2
C25B,119,0.96,401,305,0.50,,,,2
C25C,171,0.95,444,318,0.62,,,,2
C510,92,0.72,336,183,0.44,906,284,0.33,3
C525,101,0.82,360,230,0.46,,,,2
C550,199,1.10,386,365,0.67,,,,2
C55B,216,1.19,386,395,0.73,,,,2
C560,235,1.30,386,431,0.79,,,,2
C56X,219,1.15,441,426,0.68,,,,2
C650,228,1.86,222,447,0.88,,,,2
C680,211,1.54,437,492,0.90,,,,2
C68A,274,1.48,471,556,0.88,,,,2
C700,385.0960673,1.935875429,,,,,,,1
C750,249,1.80,401,605,0.91,,,,2
CL30,251,1.61,417,496,1.03,2322,597,0.98,3
CL35,302,1.44,500,572,0.90,1583,446,0.98,3
CL60,326,1.50,442,463,1.19,1754,271,1.30,3
CN35,210,0.87,,,,,,,1
CRJ1,454,1.54,947,637,1.34,,,,2
CRJ2,384,1.69,815,599,1.42,,,,2
CRJ7,501,2.33,493,674,1.98,,,,2
CRJ9,579,2.39,558,817,1.96,,,,2
CRJX,566,2.56,502,769,2.16,,,,2
CVLP,20,3.57,291,732,1.12,,,,2
CVLT,20,3.57,291,732,1.12,,,,2
D228,115,0.48,,,,,,,1
D328,141,1.07,,,,,,,1
DC10,3297,9.18,2687,-794,10.70,7762,-7475,11.56,3
DC3,6,1.09,291,224,0.35,,,,2
DC6,22,3.90,291,799,1.23,,,,2
DC85,3118,6.02,,,,,,,1
DC86,3118,6.02,,,,,,,1
DC87,3118,6.02,,,,,,,1
DC91,685,3.10,6252,-553,3.30,,,,2
DC92,693,3.14,6252,-560,3.34,,,,2
DC93,741,3.35,6252,-599,3.57,,,,2
DC94,796,3.60,6252,-643,3.83,,,,2
DC95,1684,3.98,,,,,,,1
DH8A,96,1.49,,,,,,,1
DH8B,147,1.10,274,189,0.95,,,,2
DH8C,174,1.30,274,223,1.12,,,,2
DH8D,260,1.95,274,334,1.68,,,,2
DHC6,26,0.97,201,123,0.49,,,,2
DHC7,180,1.35,274,232,1.17,,,,2
E110,35,0.79,234,115,0.45,,,,2
E120,169,0.74,,,,,,,1
E135,252,2.40,352,549,1.55,957,869,1.22,3
E145,311,1.95,477,596,1.35,,,,2
E170,495,2.55,559,902,1.83,993,322,2.41,3
E190,662,2.93,446,910,2.38,1413,743,2.50,3
E195,493,3.62,350,836,2.63,,,,2
E290,562,2.66,394,897,1.81,,,,2
E295,658,2.49,371,840,1.99,,,,2
E35L,325,2.05,346,578,1.32,,,,2
E45X,327,2.29,386,588,1.61,1724,907,1.42,3
E50P,118,0.67,250,150,0.54,695,256,0.39,3
E545,434,0.97,,,,,,,1
E550,227,1.79,349,513,0.97,,,,2
E55P,209,0.92,521,412,0.53,,,,2
E75L,572,2.16,810,778,1.90,,,,2
E75S,671,2.56,574,886,2.19,,,,2
F100,713,3.11,512,977,2.59,,,,2
F27,48,3.04,185,353,1.39,,,,2
F28,419,4.43,299,1037,2.37,,,,2
F2TH,317,1.57,398,535,1.02,,,,2
F50,108,1.70,295,244,1.24,,,,2
F70,640,2.77,343,787,2.34,,,,2
F900,388,1.60,399,534,1.23,,,,2
FA10,159,1.69,299,394,0.90,,,,2
FA50,321,1.53,721,704,0.99,,,,2
FA6X,412,2.12,452,722,1.44,,,,2
FA7X,389,2.01,452,682,1.36,,,,2
FA8X,396,1.97,247,530,1.43,,,,2
G159,90,2.38,221,329,1.30,,,,2
G280,281,1.25,394,395,0.96,,,,2
GA5C,563,1.79,635,859,1.32,,,,2
GA6C,481,2.46,343,767,1.63,,,,2
GA7C,441,3.54,283,932,1.81,,,,2
GALX,165.37753,0.448397364,,,,,,,1
GL5T,760,1.96,594,893,1.74,,,,2
GL7T,686,1.67,,,,,,,1
GLEX,622,2.50,332,873,1.75,,,,2
GLF4,534,2.89,388,1106,1.41,1503,686,1.69,3
GLF5,716,2.08,380,903,1.59,6430,1233,1.54,3
GLF6,392,3.15,283,829,1.61,,,,2
H25A,219,1.15,352,344,0.80,,,,2
H25B,236,1.25,352,371,0.86,,,,2
H25C,263,1.39,352,413,0.96,,,,2
HDJT,90,0.69,650,308,0.36,,,,2
I114,113,2.88,223,403,1.58,,,,2
IL18,890,3.68,,,,,,,1
IL62,2656,8.34,,,,,,,1
IL76,7415,8.60,1229,5461,10.19,,,,2
IL86,7365,11.20,2223,6789,11.46,,,,2
IL96,2477,9.52,9940,33652,6.38,,,,2
J328,183,1.93,299,452,1.03,,,,2
JS31,120,0.50,,,,,,,1
JS32,129,0.53,,,,,,,1
JS41,177,0.73,,,,,,,1
L101,2733,9.83,5177,-5646,11.45,,,,2
L188,287,7.70,220,1061,4.18,,,,2
L410,49,0.97,250,146,0.58,,,,2
LJ25,94,0.82,401,232,0.47,,,,2
LJ31,132,0.90,374,214,0.68,1401,591,0.41,3
LJ35,115,0.99,401,283,0.58,,,,2
LJ40,132,1.14,401,324,0.66,,,,2
LJ45,119,1.43,300,344,0.68,,,,2
LJ55,116,1.39,300,336,0.66,,,,2
LJ60,205,0.92,372,267,0.76,,,,2
LJ70,120,1.43,300,345,0.68,,,,2
LJ75,123,1.03,366,267,0.64,,,,2
MD11,2080,9.37,,,,,,,1
MD81,792,3.96,,,,,,,1
MD82,820,4.09,,,,,,,1
MD83,902,4.51,,,,,,,1
MD87,1691,2.92,1733,530,3.60,,,,2
MD88,1739,3.88,1665,233,4.79,,,,2
MD90,703,4.80,683,1582,3.52,,,,2
N262,132,0.55,,,,,,,1
PC12,68,0.47,290,100,0.37,,,,2
RJ1H,690,3.88,,,,,,,1
RJ70,899,3.11,,,,,,,1
RJ85,911,3.15,,,,,,,1
S601,184,0.45,,,,,,,1
SB20,387,1.24,,,,,,,1
SC7,87,0.36,,,,,,,1
SF34,149,0.94,,,,,,,1
SH33,166,0.68,,,,,,,1
SH36,177,0.73,,,,,,,1
SW2,124,0.51,,,,,,,1
T134,2065,3.04,,,,,,,1
