1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,...16,reordonnés pour match fct,...18,...19,...20,...21,...22,...23,...24,...25,for tests
NA,NA,ICAO_TYPE_CODE,AC_CATEGORY,EQV_TYPE,EQV_NAME,ICAO_ENGINE_DESC,CO2_COEFF,MASS,BAND_FROM_NM,BAND_TO_NM,BAND_FLOOR_NM,FUEL_TOT,FUEL_TOT_MARG_RATE,CORR_FACTOR,range 0,BreakPoint_1,BreakPoint_2,range 99999,Slope_1,Slope_2,Slope_3,Intercept_1,Intercept_2,Intercept_3,NB_equations
NA,NA,A1,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,11363,0,999999,0,NA,NA,1,0,999999,NA,999999,1.3735987424823899,NA,NA,304.16116020572002,NA,NA,1
NA,NA,A10,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,20480,0,999999,0,NA,NA,1,0,999999,NA,999999,2.1515913593013898,NA,NA,419.532328646194,NA,NA,1
NA,NA,A109,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,2925,0,999999,0,NA,NA,1,0,999999,NA,999999,0.65370209422310899,NA,NA,97.404896937423999,NA,NA,1
NA,NA,A119,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,2765,0,999999,0,NA,NA,1,0,999999,NA,999999,0.63916044753179702,NA,NA,96.600093421941096,NA,NA,1
NA,NA,A124,Heavy Jet,AO SAMPLE,A124,J,3.15,393367,0,999999,0,NA,NA,1,0,1350,3000,999999,28.631700073918701,27.104480412362399,24.823377740558499,5376.4227152950598,7438.1692583960603,14281.477273807801,3
NA,NA,A129,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,4205,0,999999,0,NA,NA,1,0,999999,NA,999999,0.769772243915403,NA,NA,103.82876807787601,NA,NA,1
NA,NA,A139,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,6660,0,999999,0,NA,NA,1,0,999999,NA,999999,0.99229464344368101,NA,NA,116.144210284366,NA,NA,1
NA,NA,A140,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,21220,0,999999,0,NA,NA,1,0,999999,NA,999999,2.3123167725815499,NA,NA,189.20047912357799,NA,NA,1
NA,NA,A148,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,42282,0,999999,0,NA,NA,1,0,999999,NA,999999,4.0120147192801499,NA,NA,695.42082963519101,NA,NA,1
NA,NA,A149,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,8000,0,999999,0,NA,NA,1,0,999999,NA,999999,1.1137923258744,NA,NA,122.868466760882,NA,NA,1
NA,NA,A158,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,42903,0,999999,0,NA,NA,1,0,999999,NA,999999,4.0650459039656504,NA,NA,703.28500418990996,NA,NA,1
NA,NA,A169,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,4770,0,999999,0,NA,NA,1,0,999999,NA,999999,0.82095717629599896,NA,NA,106.66158436024899,NA,NA,1
NA,NA,A178,Jet <90T,REG AVG_FUEL_PER_NM,Jet <90T,J,3.15,45193,0,999999,0,NA,NA,1,0,999999,NA,999999,4.2953925252366298,NA,NA,633.89571724661005,NA,NA,1
NA,NA,A189,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,8402,0,999999,0,NA,NA,1,0,999999,NA,999999,1.15027474005601,NA,NA,124.887576137553,NA,NA,1
NA,NA,A19N,Jet <90T,AO EQV,A20N,J,3.15,77832,0,999999,0,NA,NA,1.02988710539726,0,260,1250,999999,5.6071247872580896,4.4295696261791999,5.1300787687300602,554.46364399537197,860.62798587588497,-15.0084423126982,3
NA,NA,A20N,Jet <90T,AO SAMPLE,A20N,J,3.15,75573,0,999999,0,NA,NA,1,0,260,1250,999999,5.6071247872580896,4.4295696261791999,5.1300787687300602,554.46364399537197,860.62798587588497,-15.0084423126982,3
NA,NA,A210,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,845,0,999999,0,NA,NA,1,0,999999,NA,999999,0.47605280152568802,NA,NA,171.06102313684801,NA,NA,1
NA,NA,A21N,Heavy Jet,AO SAMPLE,A21N,J,3.15,90405,0,999999,0,NA,NA,1,0,310,1000,999999,6.2818349249515402,5.0190188108978298,5.8422482398005098,653.92114554243699,1045.39414089909,222.16471199640401,3
NA,NA,A22,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,845,0,999999,0,NA,NA,1,0,999999,NA,999999,0.47605280152568802,NA,NA,171.06102313684801,NA,NA,1
